input,cost_optsol,output_optsol,runtime_optsol
"[1, 2, 3]-[1, 3, 2]",1,"['[(1, 2), (1, 3)]']",9.27e-06
"[3, 1, 2]",1,"['[(1, 2), (3, 1)]']",9.27e-06
"[2, 1, 3]",1,"['[(1, 3), (2, 1)]']",9.27e-06
"[2, 3, 1]-[3, 2, 1]",1,"['[(2, 1), (3, 1)]']",9.27e-06
"[1, 2, 3]",1,"['[(1, 2), (2, 3)]']",9.27e-06
"[1, 3, 2]-[3, 1, 2]",1,"['[(1, 2), (3, 2)]']",9.27e-06
"[2, 1, 3]-[2, 3, 1]",1,"['[(2, 1), (2, 3)]']",9.27e-06
"[3, 2, 1]",1,"['[(2, 1), (3, 2)]']",9.27e-06
"[1, 3, 2]",1,"['[(1, 3), (3, 2)]']",9.27e-06
"[1, 2, 3]-[2, 1, 3]",1,"['[(1, 3), (2, 3)]']",9.27e-06
"[3, 1, 2]-[3, 2, 1]",1,"['[(3, 1), (3, 2)]']",9.27e-06
"[2, 3, 1]",1,"['[(2, 3), (3, 1)]']",9.27e-06
